year,catch
1991,44239
1992,33126
1993,30350
1994,22641
1995,38287
1996,20140
1997,12866
1998,13778
1999,5797
2000,8947
2001,22218
2002,11036
2003,17618
2004,53845
2005,40215
2006,42385
2007,60406
2008,28351
2009,107654
2010,64606
2011,3695
2012,50241
2013,124562
2014,167468
2015,130230
