year,catch
1991,11136
1992,4900
1993,143317
1994,11283
1995,1492
1996,9444
1997,7634
1998,859
1999,8960
2000,7954
2001,13012
2002,12128
2003,5173
2004,52267
2005,19598
2006,4041
2007,7835
2008,13311
2009,10870
2010,18737
2011,7688
2012,8280
2013,76407
2014,103529
2015,152336
