Date,Mean SST,Climatology,Anomaly
1982-01-15,11.75744005,12.45607659,-0.698636533
1982-02-15,12.2828941,12.44939824,-0.166504147
1982-03-15,12.59400324,12.43024917,0.163754066
1982-04-15,13.01159811,12.17590626,0.835691847
1982-05-15,11.9391774,12.36499362,-0.425816212
1982-06-15,13.48997116,13.04265654,0.447314624
1982-07-15,13.79816081,14.08268032,-0.284519506
1982-08-15,13.83869366,14.91550675,-1.076813097
1982-09-15,14.75649683,15.16699935,-0.410502514
1982-10-15,14.66020734,14.75014485,-0.0899375
1982-11-15,14.88622775,13.82579697,1.06043078
1982-12-15,13.67190717,12.9103259,0.761581265
1983-01-15,13.86445031,12.45607659,1.408373722
1983-02-15,14.4585133,12.44939824,2.009115052
1983-03-15,13.93835941,12.43024917,1.508110236
1983-04-15,12.96613726,12.17590626,0.790231
1983-05-15,13.44797498,12.36499362,1.08298136
1983-06-15,13.31525311,13.04265654,0.272596574
1983-07-15,14.75694451,14.08268032,0.674264194
1983-08-15,16.14854534,14.91550675,1.233038586
1983-09-15,17.26899624,15.16699935,2.101996891
1983-10-15,17.15865619,14.75014485,2.408511348
1983-11-15,16.03241961,13.82579697,2.206622634
1983-12-15,13.68392948,12.9103259,0.773603577
1984-01-15,13.10137349,12.45607659,0.645296903
1984-02-15,12.78892227,12.44939824,0.339524029
1984-03-14,12.7207781,12.43024917,0.290528927
1984-04-14,11.35132929,12.17590626,-0.824576973
1984-05-14,11.71327044,12.36499362,-0.651723171
1984-06-14,12.42226527,13.04265654,-0.620391264
1984-07-14,15.12177101,14.08268032,1.03909069
1984-08-14,15.37721711,14.91550675,0.461710357
1984-09-14,15.92297187,15.16699935,0.755972525
1984-10-14,14.76222992,14.75014485,0.012085074
1984-11-14,13.53388086,13.82579697,-0.291916117
1984-12-14,12.96432686,12.9103259,0.054000955
1985-01-15,12.54236555,12.45607659,0.086288965
1985-02-15,11.92907491,12.44939824,-0.520323334
1985-03-15,11.3250582,12.43024917,-1.105190968
1985-04-15,11.53930371,12.17590626,-0.636602557
1985-05-15,11.9542393,12.36499362,-0.41075432
1985-06-15,13.74717613,13.04265654,0.704519597
1985-07-15,13.8406543,14.08268032,-0.242026016
1985-08-15,15.52966184,14.91550675,0.614155086
1985-09-15,15.09345836,15.16699935,-0.073540988
1985-10-15,14.42467403,14.75014485,-0.325470811
1985-11-15,11.99090657,13.82579697,-1.834890405
1985-12-15,12.21694374,12.9103259,-0.693382163
1986-01-15,13.15530634,12.45607659,0.699229753
1986-02-15,13.40448816,12.44939824,0.955089916
1986-03-15,13.78518314,12.43024917,1.354933965
1986-04-15,12.57106084,12.17590626,0.395154578
1986-05-15,11.72473577,12.36499362,-0.640257842
1986-06-15,14.05982997,13.04265654,1.017173432
1986-07-15,14.26920286,14.08268032,0.18652254
1986-08-15,14.72432672,14.91550675,-0.191180032
1986-09-15,14.89838072,15.16699935,-0.268618628
1986-10-15,14.57533154,14.75014485,-0.174813304
1986-11-15,13.64017589,13.82579697,-0.185621081
1986-12-15,13.8907039,12.9103259,0.980377995
1987-01-15,12.88751565,12.45607659,0.431439069
1987-02-15,12.74547647,12.44939824,0.296078221
1987-03-15,12.47346959,12.43024917,0.043220416
1987-04-15,12.12327752,12.17590626,-0.052628745
1987-05-15,12.98293686,12.36499362,0.617943244
1987-06-15,13.03050936,13.04265654,-0.012147175
1987-07-15,13.92863211,14.08268032,-0.154048203
1987-08-15,15.36953768,14.91550675,0.454030931
1987-09-15,15.58285563,15.16699935,0.415856281
1987-10-15,15.55392999,14.75014485,0.803785144
1987-11-15,15.02581721,13.82579697,1.200020237
1987-12-15,13.08049305,12.9103259,0.170167143
1988-01-15,11.81374322,12.45607659,-0.642333362
1988-02-15,12.1327142,12.44939824,-0.316684046
1988-03-14,12.20644797,12.43024917,-0.223801203
1988-04-14,12.16312412,12.17590626,-0.012782142
1988-05-14,12.11794883,12.36499362,-0.247044789
1988-06-14,13.29975345,13.04265654,0.257096909
1988-07-14,13.44379234,14.08268032,-0.638887972
1988-08-14,15.34079097,14.91550675,0.425284216
1988-09-14,14.3341889,15.16699935,-0.832810446
1988-10-14,14.07370622,14.75014485,-0.676438622
1988-11-14,13.30872748,13.82579697,-0.51706949
1988-12-14,11.96221726,12.9103259,-0.948108646
1989-01-15,10.99170777,12.45607659,-1.464368821
1989-02-15,10.95562781,12.44939824,-1.493770436
1989-03-15,11.54977267,12.43024917,-0.880476505
1989-04-15,12.94507302,12.17590626,0.769166755
1989-05-15,12.81471172,12.36499362,0.449718102
1989-06-15,13.37143274,13.04265654,0.328776208
1989-07-15,13.19462483,14.08268032,-0.888055488
1989-08-15,14.06209351,14.91550675,-0.853413238
1989-09-15,15.15225315,15.16699935,-0.014746196
1989-10-15,14.99210611,14.75014485,0.241961262
1989-11-15,14.14170214,13.82579697,0.315905164
1989-12-15,13.87616293,12.9103259,0.965837029
1990-01-15,12.81096403,12.45607659,0.354887448
1990-02-15,11.54320959,12.44939824,-0.906188655
1990-03-15,11.53525639,12.43024917,-0.894992786
1990-04-15,12.36381655,12.17590626,0.187910292
1990-05-15,12.40086537,12.36499362,0.035871756
1990-06-15,13.24511227,13.04265654,0.202455736
1990-07-15,14.40854546,14.08268032,0.325865142
1990-08-15,15.55422783,14.91550675,0.638721076
1990-09-15,16.09906083,15.16699935,0.932061481
1990-10-15,14.68438893,14.75014485,-0.065755914
1990-11-15,13.14380378,13.82579697,-0.681993194
1990-12-15,12.09454947,12.9103259,-0.815776431
