yr,catch
1991,73
1992,405
1993,72
1994,572
1995,986
1996,486
1997,855
1998,31
1999,26
2000,551
2001,614
2005,20
2006,48
2007,149
2008,84
2009,297
2010,915
2011,1682
2012,328
2013,401
2014,348
2015,313
